year,country_iso3,country_name,country_role,indicator,indicator_code,value,measure_note,source_tier,source_url,source_retrieved_at
2010,KEN,Kenya,origin,migrant_stock,SM.POP.TOTL,954925,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/KEN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,KEN,Kenya,origin,migrant_stock,SM.POP.TOTL,1126886,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/KEN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,KEN,Kenya,origin,migrant_stock,SM.POP.TOTL,1050147,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/KEN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,KEN,Kenya,origin,migrant_stock,SM.POP.TOTL,992536,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/KEN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,LBN,Lebanon,origin,migrant_stock,SM.POP.TOTL,466437,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/LBN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,LBN,Lebanon,origin,migrant_stock,SM.POP.TOTL,514836,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/LBN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,LBN,Lebanon,origin,migrant_stock,SM.POP.TOTL,553850,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/LBN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2010,LBN,Lebanon,origin,migrant_stock,SM.POP.TOTL,625884,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/LBN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,LBN,Lebanon,origin,migrant_stock,SM.POP.TOTL,1763717,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/LBN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,LBN,Lebanon,origin,migrant_stock,SM.POP.TOTL,1586346,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/LBN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,LBN,Lebanon,origin,migrant_stock,SM.POP.TOTL,1422583,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/LBN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,LKA,Sri Lanka,origin,migrant_stock,SM.POP.TOTL,40841,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/LKA/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,LKA,Sri Lanka,origin,migrant_stock,SM.POP.TOTL,40132,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/LKA/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
