period,household_type,household_type_code,index_group,index_number,source_tier,source_url,source_retrieved_at
2015-Q2,Employee households,P1,All groups,73.95,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q2,Age pensioner households,P2,All groups,74.58,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q2,Other government transfer recipient households,P3,All groups,73.04,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q2,Self-funded retiree households,P4,All groups,75.25,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q2,Pensioner and beneficiary households,PBLCI,All groups,73.8,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q3,Employee households,P1,All groups,74.1,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q3,Age pensioner households,P2,All groups,74.68,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q3,Other government transfer recipient households,P3,All groups,73.13,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q3,Self-funded retiree households,P4,All groups,75.6,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q3,Pensioner and beneficiary households,PBLCI,All groups,73.9,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q4,Employee households,P1,All groups,74.44,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q4,Age pensioner households,P2,All groups,74.79,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q4,Other government transfer recipient households,P3,All groups,73.55,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q4,Self-funded retiree households,P4,All groups,76.08,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q4,Pensioner and beneficiary households,PBLCI,All groups,74.2,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q1,Employee households,P1,All groups,74.41,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q1,Age pensioner households,P2,All groups,74.79,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q1,Other government transfer recipient households,P3,All groups,73.52,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q1,Self-funded retiree households,P4,All groups,75.79,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q1,Pensioner and beneficiary households,PBLCI,All groups,74.18,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q2,Employee households,P1,All groups,74.67,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q2,Age pensioner households,P2,All groups,75.13,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q2,Other government transfer recipient households,P3,All groups,73.81,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q2,Self-funded retiree households,P4,All groups,76.07,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q2,Pensioner and beneficiary households,PBLCI,All groups,74.49,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q3,Employee households,P1,All groups,74.99,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q3,Age pensioner households,P2,All groups,75.77,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q3,Other government transfer recipient households,P3,All groups,74.28,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q3,Self-funded retiree households,P4,All groups,76.71,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q3,Pensioner and beneficiary households,PBLCI,All groups,75.03,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q4,Employee households,P1,All groups,75.2,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q4,Age pensioner households,P2,All groups,76.01,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q4,Other government transfer recipient households,P3,All groups,74.85,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q4,Self-funded retiree households,P4,All groups,77.13,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2016-Q4,Pensioner and beneficiary households,PBLCI,All groups,75.47,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q1,Employee households,P1,All groups,75.55,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q1,Age pensioner households,P2,All groups,76.58,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q1,Other government transfer recipient households,P3,All groups,75.3,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q1,Self-funded retiree households,P4,All groups,77.31,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q1,Pensioner and beneficiary households,PBLCI,All groups,75.97,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q2,Employee households,P1,All groups,75.64,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q2,Age pensioner households,P2,All groups,76.67,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q2,Other government transfer recipient households,P3,All groups,75.34,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q2,Self-funded retiree households,P4,All groups,77.4,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q2,Pensioner and beneficiary households,PBLCI,All groups,76.03,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q3,Employee households,P1,All groups,76.16,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q3,Age pensioner households,P2,All groups,77.09,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q3,Other government transfer recipient households,P3,All groups,75.9,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q3,Self-funded retiree households,P4,All groups,77.92,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q3,Pensioner and beneficiary households,PBLCI,All groups,76.52,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q4,Employee households,P1,All groups,76.74,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q4,Age pensioner households,P2,All groups,77.6,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q4,Other government transfer recipient households,P3,All groups,76.65,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q4,Self-funded retiree households,P4,All groups,78.42,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2017-Q4,Pensioner and beneficiary households,PBLCI,All groups,77.17,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2018-Q1,Employee households,P1,All groups,77.05,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
